#KPL:P: 04-UC-Punc
P braceright.uc
R braceright.uc
braceleft.uc S
S braceright.uc
braceleft.uc T
T braceright.uc
braceleft.uc U
U braceright.uc
Uhorn braceright.uc
braceleft.uc V
V braceright.uc
braceleft.uc W
W braceright.uc
braceleft.uc X
X braceright.uc
braceleft.uc Y
Y braceright.uc
braceleft.uc Z
Z braceright.uc
braceleft.uc AE
Thorn braceright.uc
braceleft.uc Schwa
braceleft.uc Germandbls
Germandbls braceright.uc
quoteright A
A quoteright
B quoteright
C quoteright
E quoteright
F quoteright
G quoteright
quoteright J
J quoteright
K quoteright
L quoteright
N quoteright
Ohorn quoteright
P quoteright
R quoteright
quoteright S
S quoteright
quoteright T
T quoteright
quoteright U
U quoteright
Uhorn quoteright
quoteright V
V quoteright
quoteright W
W quoteright
quoteright X
X quoteright
quoteright Y
Y quoteright
quoteright Z
Z quoteright
quoteright AE
Thorn quoteright
quoteright Schwa
ampersand A
A ampersand
B ampersand
C ampersand
E ampersand
F ampersand
G ampersand
ampersand J
J ampersand
K ampersand
L ampersand
N ampersand
Ohorn ampersand
P ampersand
R ampersand
ampersand S
S ampersand
ampersand T
T ampersand
ampersand U
U ampersand
Uhorn ampersand
ampersand V
V ampersand
ampersand W
W ampersand
ampersand X
X ampersand
ampersand Y
Y ampersand
ampersand Z
Z ampersand
ampersand AE
Thorn ampersand
ampersand Schwa
quotesingle A
A quotesingle
B quotesingle
C quotesingle
E quotesingle
F quotesingle
G quotesingle
quotesingle J
J quotesingle
K quotesingle
L quotesingle
N quotesingle
Ohorn quotesingle
P quotesingle
R quotesingle
quotesingle S
S quotesingle
quotesingle T
T quotesingle
quotesingle U
U quotesingle
Uhorn quotesingle
quotesingle V
V quotesingle
quotesingle W
W quotesingle
quotesingle X
X quotesingle
quotesingle Y
Y quotesingle
quotesingle Z
Z quotesingle
quotesingle AE
Thorn quotesingle
quotesingle Schwa
asterisk A
A asterisk
B asterisk
C asterisk
E asterisk
F asterisk
G asterisk
asterisk J
J asterisk
K asterisk
L asterisk
N asterisk
Ohorn asterisk
P asterisk
R asterisk
asterisk S
S asterisk
asterisk T
T asterisk
asterisk U
U asterisk
Uhorn asterisk
asterisk V
V asterisk
asterisk W
W asterisk
asterisk X
X asterisk
asterisk Y
Y asterisk
asterisk Z
Z asterisk
asterisk AE
Thorn asterisk
asterisk Schwa
period A
A period
B period
C period
E period
F period
G period
period J
J period
K period
L period
N period
Ohorn period
P period
R period
period S
S period
period T
T period
period U
U period
Uhorn period
period V
V period
period W
W period
period X
X period
period Y
Y period
period Z
Z period
period AE
Thorn period
period Schwa
slash A
A slash
B slash
C slash
E slash
F slash
G slash
slash J
J slash
K slash
L slash
N slash
Ohorn slash
P slash
R slash
slash S
S slash
slash T
T slash
slash U
U slash
Uhorn slash
slash V
V slash
slash W
W slash
slash X
X slash
slash Y
Y slash
slash Z
Z slash
slash AE
Thorn slash
slash Schwa
colon A
A colon
B colon
C colon
E colon
F colon
G colon
colon J
J colon
K colon
L colon
N colon
Ohorn colon
P colon
R colon
colon S
S colon
colon T
T colon
colon U
U colon
Uhorn colon
colon V
V colon
colon W
W colon
colon X
X colon
colon Y
Y colon
colon Z
Z colon
colon AE
Thorn colon
colon Schwa
at A
A at
B at
C at
E at
F at
G at
at J
J at
K at
L at
N at
Ohorn at
P at
R at
at S
S at
at T
T at
at U
U at
Uhorn at
at V
V at
at W
W at
at X
X at
at Y
Y at
at Z
Z at
at AE
Thorn at
at Schwa
backslash A
A backslash
B backslash
C backslash
E backslash
F backslash
G backslash
backslash J
J backslash
K backslash
L backslash
N backslash
Ohorn backslash
P backslash
R backslash
backslash S
S backslash
backslash T
T backslash
backslash U
U backslash
Uhorn backslash
backslash V
V backslash
backslash W
W backslash
backslash X
X backslash
backslash Y
Y backslash
backslash Z
Z backslash
backslash AE
Thorn backslash
backslash Schwa
bullet A
A bullet
B bullet
C bullet
E bullet
F bullet
G bullet
bullet J
J bullet
K bullet
L bullet
N bullet
Ohorn bullet
P bullet
R bullet
bullet S
S bullet
bullet T
T bullet
bullet U
U bullet
Uhorn bullet
bullet V
V bullet
bullet W
W bullet
bullet X
X bullet
bullet Y
Y bullet
bullet Z
Z bullet
bullet AE
Thorn bullet
bullet Schwa
plus A
A plus
B plus
C plus
E plus
F plus
G plus
plus J
J plus
K plus
L plus
N plus
Ohorn plus
P plus
R plus
plus S
S plus
plus T
T plus
plus U
U plus
Uhorn plus
plus V
V plus
plus W
W plus
plus X
X plus
plus Y
Y plus
plus Z
Z plus
plus AE
Thorn plus
plus Schwa
H at.uc
at.uc H
O at.uc
at.uc O
A at.uc
at.uc A
B at.uc
C at.uc
E at.uc
F at.uc
G at.uc
J at.uc
at.uc J
K at.uc
L at.uc
N at.uc
Ohorn at.uc
P at.uc
R at.uc
S at.uc
at.uc S
T at.uc
at.uc T
U at.uc
at.uc U
Uhorn at.uc
V at.uc
at.uc V
W at.uc
at.uc W
X at.uc
at.uc X
Y at.uc
at.uc Y
Z at.uc
at.uc Z
at.uc AE
Thorn at.uc
at.uc Schwa
period Germandbls
Germandbls period
colon Germandbls
Germandbls colon
at Germandbls
Germandbls at
at.uc Germandbls
Germandbls at.uc
plus Germandbls
Germandbls plus
ampersand Germandbls
Germandbls ampersand
quotedbl Germandbls
Germandbls quotedbl
slash Germandbls
Germandbls slash
backslash Germandbls
Germandbls backslash
bullet Germandbls
Germandbls bullet
Germandbls exclam
Germandbls question
quoteleft Germandbls
Germandbls quoteright
quoteright Germandbls
Germandbls quoteleft
guilsinglleft Germandbls
Germandbls guilsinglright
guilsinglright Germandbls
Germandbls guilsinglleft
guilsinglleft.uc Germandbls
Germandbls guilsinglright.uc
guilsinglright.uc Germandbls
Germandbls guilsinglleft.uc
endash Germandbls
Germandbls endash
endash.uc Germandbls
Germandbls endash.uc
parenleft Germandbls
Germandbls parenright
braceleft Germandbls
Germandbls braceright
parenleft.uc Germandbls
Germandbls parenright.uc
braceleft.uc Germandbls
Germandbls braceright.uc
