#KPL:P: 05-LC-Punc
quoteright s
s quoteright
quoteright t
t quoteright
quoteright u
u quoteright
uhorn quoteright
quoteright v
v quoteright
quoteright x
x quoteright
quoteright y
quoteright z
z quoteright
germandbls quoteright
quoteright thorn
f.alt quoteright
f.short quoteright
guilsinglright a
guilsinglright g.alt
a guilsinglright
c guilsinglright
d guilsinglright
dcaron guilsinglright
e guilsinglright
guilsinglright f
f guilsinglright
guilsinglright g
g guilsinglright
i guilsinglright
guilsinglright j
j guilsinglright
k guilsinglright
guilsinglright l
l guilsinglright
guilsinglright n
n guilsinglright
guilsinglright o
o guilsinglright
ohorn guilsinglright
guilsinglright p
p guilsinglright
q guilsinglright
g.alt guilsinglright
r guilsinglright
guilsinglright s
s guilsinglright
guilsinglright t
t guilsinglright
guilsinglright u
u guilsinglright
uhorn guilsinglright
guilsinglright v
v guilsinglright
guilsinglright x
x guilsinglright
guilsinglright y
guilsinglright z
z guilsinglright
germandbls guilsinglright
guilsinglright thorn
f.alt guilsinglright
f.short guilsinglright
ampersand a
ampersand g.alt
a ampersand
c ampersand
d ampersand
dcaron ampersand
e ampersand
ampersand f
f ampersand
ampersand g
g ampersand
i ampersand
ampersand j
j ampersand
k ampersand
ampersand l
l ampersand
ampersand n
n ampersand
ampersand o
o ampersand
ohorn ampersand
ampersand p
p ampersand
q ampersand
g.alt ampersand
r ampersand
ampersand s
s ampersand
ampersand t
t ampersand
ampersand u
u ampersand
uhorn ampersand
ampersand v
v ampersand
ampersand x
x ampersand
ampersand y
ampersand z
z ampersand
germandbls ampersand
ampersand thorn
f.alt ampersand
f.short ampersand
quotesingle a
quotesingle g.alt
a quotesingle
c quotesingle
d quotesingle
dcaron quotesingle
e quotesingle
quotesingle f
f quotesingle
quotesingle g
g quotesingle
i quotesingle
quotesingle j
j quotesingle
k quotesingle
quotesingle l
l quotesingle
quotesingle n
n quotesingle
quotesingle o
o quotesingle
ohorn quotesingle
quotesingle p
p quotesingle
q quotesingle
g.alt quotesingle
r quotesingle
quotesingle s
s quotesingle
quotesingle t
t quotesingle
quotesingle u
u quotesingle
uhorn quotesingle
quotesingle v
v quotesingle
quotesingle x
x quotesingle
quotesingle y
quotesingle z
z quotesingle
germandbls quotesingle
quotesingle thorn
f.alt quotesingle
f.short quotesingle
asterisk a
asterisk g.alt
a asterisk
c asterisk
d asterisk
dcaron asterisk
e asterisk
asterisk f
f asterisk
asterisk g
g asterisk
i asterisk
asterisk j
j asterisk
k asterisk
asterisk l
l asterisk
asterisk n
n asterisk
asterisk o
o asterisk
ohorn asterisk
asterisk p
p asterisk
q asterisk
g.alt asterisk
r asterisk
asterisk s
s asterisk
asterisk t
t asterisk
asterisk u
u asterisk
uhorn asterisk
asterisk v
v asterisk
asterisk x
x asterisk
asterisk y
asterisk z
z asterisk
germandbls asterisk
asterisk thorn
f.alt asterisk
f.short asterisk
period a
period g.alt
a period
c period
d period
dcaron period
e period
period f
f period
period g
g period
i period
period j
j period
k period
period l
l period
period n
n period
period o
o period
ohorn period
period p
p period
q period
g.alt period
r period
period s
s period
period t
t period
period u
u period
uhorn period
period v
v period
period x
x period
period y
period z
z period
germandbls period
period thorn
f.alt period
f.short period
slash a
slash g.alt
a slash
c slash
d slash
dcaron slash
e slash
slash f
f slash
slash g
g slash
i slash
slash j
j slash
k slash
slash l
l slash
slash n
n slash
slash o
o slash
ohorn slash
slash p
p slash
q slash
g.alt slash
r slash
slash s
s slash
slash t
t slash
slash u
u slash
uhorn slash
slash v
v slash
slash x
x slash
slash y
slash z
z slash
germandbls slash
slash thorn
f.alt slash
f.short slash
colon a
colon g.alt
a colon
c colon
d colon
dcaron colon
e colon
colon f
f colon
colon g
g colon
i colon
colon j
j colon
k colon
colon l
l colon
colon n
n colon
colon o
o colon
ohorn colon
colon p
p colon
q colon
g.alt colon
r colon
colon s
s colon
colon t
t colon
colon u
u colon
uhorn colon
colon v
v colon
colon x
x colon
colon y
colon z
z colon
germandbls colon
colon thorn
f.alt colon
f.short colon
at a
at g.alt
a at
c at
d at
dcaron at
e at
at f
f at
at g
g at
i at
at j
j at
k at
at l
l at
at n
n at
at o
o at
ohorn at
at p
p at
q at
g.alt at
r at
at s
s at
at t
t at
at u
u at
uhorn at
at v
v at
at x
x at
at y
at z
z at
germandbls at
at thorn
f.alt at
f.short at
backslash a
backslash g.alt
a backslash
c backslash
d backslash
dcaron backslash
e backslash
backslash f
f backslash
backslash g
g backslash
i backslash
backslash j
j backslash
k backslash
backslash l
l backslash
backslash n
n backslash
backslash o
o backslash
ohorn backslash
backslash p
p backslash
q backslash
g.alt backslash
r backslash
backslash s
s backslash
backslash t
t backslash
backslash u
u backslash
uhorn backslash
backslash v
v backslash
backslash x
x backslash
backslash y
backslash z
z backslash
germandbls backslash
backslash thorn
f.alt backslash
f.short backslash
bullet a
bullet g.alt
a bullet
c bullet
d bullet
dcaron bullet
e bullet
bullet f
f bullet
bullet g
g bullet
i bullet
bullet j
j bullet
k bullet
bullet l
l bullet
bullet n
n bullet
bullet o
o bullet
ohorn bullet
bullet p
p bullet
q bullet
g.alt bullet
r bullet
bullet s
s bullet
bullet t
t bullet
bullet u
u bullet
uhorn bullet
bullet v
v bullet
bullet x
x bullet
bullet y
bullet z
z bullet
germandbls bullet
bullet thorn
f.alt bullet
f.short bullet
plus a
plus g.alt
a plus
c plus
d plus
dcaron plus
e plus
plus f
f plus
plus g
g plus
i plus
plus j
j plus
k plus
plus l
l plus
plus n
n plus
plus o
o plus
ohorn plus
plus p
p plus
q plus
g.alt plus
r plus
plus s
s plus
plus t
t plus
plus u
u plus
uhorn plus
plus v
v plus
plus x
x plus
plus y
plus z
z plus
germandbls plus
plus thorn
f.alt plus
period ae
colon ae
endash ae
slash ae
backslash ae
quotedblleft ae
quotedblright ae
quotedbl ae
guillemotleft ae
guillemotright ae
bullet ae
at ae
plus ae
ampersand ae
asterisk ae
asterisk.alt ae
parenleft ae
bracketleft ae
exclamdown ae
questiondown ae
quotedblbase ae
copyright ae
