
# UNICODE

00A0;uni00A0
0134;Jcircumflex
0135;jcircumflex
0136;Kcommaaccent
0137;kcommaaccent
0138;kgreenlandic
0139;Lacute
0140;ldot
0141;Lslash
0142;lslash
0143;Nacute
0144;nacute
0145;Ncommaaccent
0146;ncommaaccent
0147;Ncaron
0148;ncaron
0149;napostrophe
0150;Ohungarumlaut
0151;ohungarumlaut
0152;OE
0153;oe
0154;Racute
0155;racute
0156;Rcommaaccent
0157;rcommaaccent
0158;Rcaron
0159;rcaron
0160;Scaron
0161;scaron
0162;Tcommaaccent
0163;tcommaaccent
0164;Tcaron
0165;tcaron
0166;Tbar
0167;tbar
0168;Utilde
0169;utilde
0170;Uhungarumlaut
0171;uhungarumlaut
0172;Uogonek
0173;uogonek
0174;Wcircumflex
0175;wcircumflex
0176;Ycircumflex
0177;ycircumflex
0178;Ydieresis
0179;Zacute
0192;florin
0200;Adblgrave
200B;zerowidthspace
0201;adblgrave
201A;quotesinglbase
201C;quotedblleft
201D;quotedblright
201E;quotedblbase
0202;Ainvertedbreve
0203;ainvertedbreve
203A;guilsinglright
0204;Edblgrave
0205;edblgrave
0206;Einvertedbreve
0207;einvertedbreve
207A;plus.sup
207B;minus.sup
0208;Idblgrave
208A;plus.sub
208B;minus.sub
0209;idblgrave
0210;Rdblgrave
0211;rdblgrave
0212;Rinvertedbreve
212E;estimated
0213;rinvertedbreve
0214;Udblgrave
0215;udblgrave
215B;oneeighth
215C;threeeighths
215D;fiveeighths
215E;seveneighths
0216;Uinvertedbreve
0217;uinvertedbreve
0218;Scommaaccent
0219;scommaaccent
220F;product
221A;radical
221E;infinity
222B;integral
0230;Odotaccentmacron
0231;odotaccentmacron
0232;Ymacron
0233;ymacron
0237;dotlessj
0259;schwa
0300;gravecomb
0301;acutecomb
0302;circumflexcomb
0303;tildecomb
0304;macroncomb
0306;brevecomb
0307;dotaccentcomb
0308;dieresiscomb
0309;hookabovecomb
0311;breveinvertedcomb
0312;commaturnedabovecomb
0323;dotbelowcomb
0324;dieresisbelowcomb
0326;commaaccentcomb
0327;cedillacomb
0328;ogonekcomb
0331;macronbelowcomb
0394;Delta
2009;thinspace
2010;hyphentwo
2012;figuredash
2013;endash
2014;emdash
2015;horizontalbar
2018;quoteleft
2019;quoteright
2020;dagger
2021;daggerdbl
2022;bullet
2026;ellipsis
2030;perthousand
2032;minute
2033;second
2039;guilsinglleft
2044;fraction
2070;zero.sup
2074;four.sup
2075;five.sup
2076;six.sup
2077;seven.sup
2078;eight.sup
2079;nine.sup
2080;zero.sub
2081;one.sub
2082;two.sub
2083;three.sub
2084;four.sub
2085;five.sub
2086;six.sub
2087;seven.sub
2088;eight.sub
2089;nine.sub
2113;litre
2116;numero
2117;soundcopyright
2120;servicemark
2122;trademark
2126;ohm
2153;onethird
2154;twothirds
2191;arrowup
2193;arrowdown
2196;arrowupleft
2197;arrowupright
2198;arrowdownright
2199;arrowdownleft
2202;partialdiff
2205;emptyset
2211;summation
2212;minus
2219;bulletoperator
2248;approxequal
2260;notequal
2264;lessequal
2265;greaterequal
2440;hook
2661;heartsuitwhite
2665;heart
8592;arrowleft
8594;arrowright
E40A;eight.den
E40B;nine.den
E41A;four.num
E41B;five.num
E41C;six.num
E41D;seven.num
E41E;eight.num
E41F;nine.num
E132;ijacute
E133;IJacute
E402;zero.den
E403;one.den
E404;two.den
E405;three.den
E406;four.den
E407;five.den
E408;six.den
E409;seven.den
E416;zero.num
E417;one.num
E418;two.num
E419;three.num
FB00;f_f
FB01;fi
FB02;fl
FB03;f_f_i
FB04;f_f_l


# NO UNICODE

;acute_dotaccent
;blacktriangle
;breve_acute
;breve_grave
;breve_hook
;breve_tilde
;brevebelow
;breveinverted
;caron_dotaccent
;circumflex_acute
;circumflex_grave
;circumflex_hook
;circumflex_tilde
;commaaccent
;dblgrave
;dieresis_acute
;dieresis_caron
;dieresis_macron
;dieresisbelow
;dotaccent_macron
;dotbelow
;eightinferior
;eightsuperior
;f_b
;f_f_b
;f_f_h
;f_f_j
;f_f_k
;f_h
;f_i
;f_j
;f_k
;f_l
;fiveinferior
;fivesuperior
;fourinferior
;foursuperior
;horn
;idotaccent
;idotless
;ihoi
;Ihoi
;jacute
;Jacute
;jdotless
;literSign
;macron_acute
;macron_dieresis
;macron_grave
;macronbelow
;nineinferior
;ninesuperior
;oneinferior
;seveninferior
;sevensuperior
;sixinferior
;sixsuperior
;SS
;tcedilla
;Tcedilla
;threeinferior
;tilde_acute
;tilde_dieresis
;tilde_macron
;twoinferior
;whitetriangle
;zeroinferior
;zerosuperior

# ALT

;AE.alt
;AEacute.alt
;caron.alt
;caroncomb.alt
;cent.alt
;commaaccent.alt
;dollar.alt
;E.alt
;Eacute.alt
;Ebreve.alt
;Ecaron.alt
;Ecedillabreve.alt
;Ecircumflex.alt
;Ecircumflexacute.alt
;Ecircumflexdotbelow.alt
;Ecircumflexgrave.alt
;Ecircumflexhookabove.alt
;Ecircumflextilde.alt
;Edblgrave.alt
;Edieresis.alt
;Edotaccent.alt
;Edotbelow.alt
;Egrave.alt
;Ehookabove.alt
;Einvertedbreve.alt
;Emacron.alt
;Emacronacute.alt
;Emacrongrave.alt
;Eogonek.alt
;Etilde.alt
;f_f_b.alt
;f_f_h.alt
;f_f_i.alt
;f_f_j.alt
;f_f_k.alt
;f_f_l.alt
;f_f.alt
;f_i.alt
;f_j.alt
;f.alt
;F.alt
;fi.alt
;g.alt
;gbreve.alt
;gcaron.alt
;gcircumflex.alt
;gcommaaccent.alt
;gdotaccent.alt
;gmacron.alt
;lira.alt
;OE.alt
;sterling.alt

;f_f.short
;f.short

# UC ACCENTS

;acute_dotaccent.uc
;acute.uc
;acute.ucpl
;at.uc
;backslash.uc
;bar.uc
;braceleft.uc
;braceright.uc
;bracketleft.uc
;bracketright.uc
;breve_acute.uc
;breve_grave.uc
;breve_hook.uc
;breve_tilde.uc
;breve.uc
;breveinverted.uc
;brokenbar.uc
;caron_dotaccent.uc
;caron.uc
;circumflex_acute.uc
;circumflex_grave.uc
;circumflex_hook.uc
;circumflex_tilde.uc
;circumflex.uc
;dblgrave.uc
;dieresis_acute.uc
;dieresis_caron.uc
;dieresis_macron.uc
;dieresis.uc
;dotaccent_macron.uc
;dotaccent.uc
;emdash.uc
;endash.uc
;exclamdown.uc
;grave.uc
;guillemotleft.uc
;guillemotright.uc
;guilsinglleft.uc
;guilsinglright.uc
;hook.uc
;hungarumlaut.uc
;hyphen.uc
;macron_acute.uc
;macron_dieresis.uc
;macron_grave.uc
;macron.uc
;parenleft.uc
;parenright.uc
;periodcentered.uc
;questiondown.uc
;ring.uc
;slash.uc
;tilde_acute.uc
;tilde_dieresis.uc
;tilde_macron.uc
;tilde.uc

# LANGUAGE SPECIFIC

;acute.pl
;cacute.pl
;Cacute.pl
;nacute.pl
;Nacute.pl
;oacute.pl
;Oacute.pl
;sacute.pl
;Sacute.pl
;zacute.pl
;Zacute.pl

;periodcentered.loclCAT
;periodcentered.loclCAT.uc

# FIGURES/MATH/CURRENCY

;cedi.proportional
;cent.proportional
;colonmonetary.proportional
;currency.proportional
;dollar.proportional
;dong.proportional
;Euro.proportional
;florin.proportional
;franc.proportional
;guarani.proportional
;kip.proportional
;lira.proportional
;liraTurkish.proportional
;manat.proportional
;naira.proportional
;peseta.proportional
;peso.proportional
;ruble.proportional
;rupeeIndian.proportional
;sterling.proportional
;thai:baht.proportional
;uni20B4.proportional
;uni20B8.proportional
;won.proportional
;yen.proportional

;cent.altprop
;dollar.altprop
;lira.altprop
;sterling.altprop

;eight.oldprop
;five.oldprop
;four.oldprop
;nine.oldprop
;one.oldprop
;seven.oldprop
;six.oldprop
;three.oldprop
;two.oldprop
;zero.oldprop

;eight.oldtab
;five.oldtab
;four.oldtab
;nine.oldtab
;one.oldtab
;seven.oldtab
;six.oldtab
;three.oldtab
;two.oldtab
;zero.oldtab

;approxequal.lin
;divide.lin
;equal.lin
;greater.lin
;greaterequal.lin
;less.lin
;lessequal.lin
;logicalnot.lin
;minus.lin
;multiply.lin
;notequal.lin
;plus.lin

;eight.linprop
;five.linprop
;four.linprop
;nine.linprop
;one.linprop
;seven.linprop
;six.linprop
;three.linprop
;two.linprop
;zero.linprop

;eight.lintab
;five.lintab
;four.lintab
;nine.lintab
;one.lintab
;seven.lintab
;six.lintab
;three.lintab
;two.lintab
;zero.lintab

;colon.tab
;comma.tab
;period.tab

;eight.midprop
;five.midprop
;four.midprop
;nine.midprop
;one.midprop
;seven.midprop
;six.midprop
;three.midprop
;two.midprop
;zero.midprop

;eight.sinf
;five.sinf
;four.sinf
;nine.sinf
;one.sinf
;seven.sinf
;six.sinf
;three.sinf
;two.sinf
;zero.sinf

;one.sup
;three.sup
;two.sup

;zero.propslash
;zero.slash
;zero.slashlin
;zero.slashlinprop
;zero.slashold
;zero.slasholdprop
;zero.zero

